epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2240.99,0.98895,0.5995,0.98063,0.25526,0.15744,0.13218,0.04812,2.5522,1.49795,1.89465,0.0059905,0.0059905,0.0059905
83,2261.11,0.98822,0.5985,0.97798,0.51813,0.40432,0.38937,0.16876,1.88994,0.92564,1.45375,0.005941,0.005941,0.005941
84,2281.28,0.9861,0.6019,0.98119,0.3256,0.2621,0.19598,0.06937,2.39628,1.31568,1.80819,0.0058915,0.0058915,0.0058915
85,2301.23,0.97803,0.59722,0.97697,0.33023,0.22685,0.16965,0.05878,2.47347,1.36962,1.84478,0.005842,0.005842,0.005842
86,2321.12,0.97492,0.58861,0.97991,0.27607,0.15268,0.12713,0.03835,2.66722,1.66565,2.02345,0.0057925,0.0057925,0.0057925
87,2341.09,0.97639,0.58905,0.9736,0.84114,0.71289,0.81153,0.46959,1.08127,0.56514,1.03892,0.005743,0.005743,0.005743
88,2361.31,0.9752,0.5888,0.97769,0.28688,0.26085,0.18438,0.06885,2.40148,1.48909,1.81283,0.0056935,0.0056935,0.0056935
89,2381.95,0.96678,0.58785,0.97115,0.37603,0.27854,0.23619,0.08503,2.22935,1.24531,1.70572,0.005644,0.005644,0.005644
90,2402.06,0.96644,0.58923,0.96721,0.37303,0.11193,0.1037,0.03651,2.66229,1.80789,2.00706,0.0055945,0.0055945,0.0055945
91,2422.04,0.96213,0.58059,0.96678,0.28282,0.17608,0.14517,0.05236,2.49802,1.47943,1.90007,0.005545,0.005545,0.005545
92,2442.12,0.96471,0.58182,0.97442,0.84788,0.74,0.83336,0.48709,1.02367,0.54178,1.01388,0.0054955,0.0054955,0.0054955
93,2462.12,0.95449,0.57961,0.97217,0.19587,0.09886,0.07108,0.02231,2.87456,1.90868,2.19362,0.005446,0.005446,0.005446
94,2482.34,0.95679,0.57614,0.97219,0.38729,0.30138,0.24138,0.09484,2.2783,1.16287,1.7161,0.0053965,0.0053965,0.0053965
95,2502.67,0.9568,0.57532,0.96733,0.26946,0.25686,0.16609,0.05921,2.43931,1.33831,1.85009,0.005347,0.005347,0.005347
96,2522.9,0.94856,0.5713,0.9652,0.82221,0.75131,0.8195,0.48915,1.04244,0.54048,1.01862,0.0052975,0.0052975,0.0052975
97,2543.03,0.95616,0.57155,0.96847,0.37418,0.32197,0.24775,0.08731,2.2937,1.249,1.71729,0.005248,0.005248,0.005248
98,2563.52,0.94608,0.57184,0.96448,0.27844,0.19065,0.14163,0.04914,2.55583,1.43818,1.90863,0.0051985,0.0051985,0.0051985
99,2583.79,0.93901,0.56395,0.96618,0.83993,0.73443,0.79979,0.46688,1.08423,0.55364,1.03491,0.005149,0.005149,0.005149
100,2603.91,0.93891,0.56759,0.96446,0.62082,0.55951,0.57638,0.26878,1.62236,0.77678,1.29083,0.0050995,0.0050995,0.0050995
101,2624.27,0.94848,0.57063,0.96459,0.79397,0.6279,0.72027,0.37249,1.32034,0.62429,1.13805,0.00505,0.00505,0.00505
102,2644.47,0.92712,0.56052,0.96079,0.43105,0.38006,0.33063,0.13649,2.04807,1.03001,1.55354,0.0050005,0.0050005,0.0050005
103,2664.94,0.93963,0.57263,0.9663,0.3202,0.28426,0.19758,0.0704,2.37578,1.29981,1.7969,0.004951,0.004951,0.004951
104,2685.31,0.9297,0.55842,0.95706,0.25868,0.2013,0.12815,0.04628,2.53551,1.61667,1.90698,0.0049015,0.0049015,0.0049015
105,2705.43,0.93174,0.55728,0.95976,0.77239,0.66381,0.74532,0.39339,1.28523,0.60648,1.12008,0.004852,0.004852,0.004852
106,2725.85,0.93271,0.56349,0.95828,0.22259,0.15012,0.1015,0.03405,2.72621,1.8423,2.06585,0.0048025,0.0048025,0.0048025
107,2746.03,0.92272,0.55305,0.95531,0.67334,0.63474,0.66813,0.31953,1.45627,0.67023,1.21274,0.004753,0.004753,0.004753
108,2766.2,0.92498,0.55291,0.95946,0.28966,0.21461,0.14811,0.05231,2.4767,1.55987,1.88346,0.0047035,0.0047035,0.0047035
109,2786.4,0.92321,0.55361,0.95725,0.69139,0.62962,0.66638,0.32435,1.47688,0.67462,1.21642,0.004654,0.004654,0.004654
