epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4199.99,0.64775,0.34178,0.92883,0.93254,0.8512,0.90877,0.70355,0.71537,0.33031,0.99936,0.006238,0.006238,0.006238
78,4254.29,0.64795,0.34171,0.92759,0.94654,0.84707,0.90794,0.70246,0.71575,0.33028,0.99903,0.0061885,0.0061885,0.0061885
79,4308.12,0.64318,0.33865,0.92681,0.94658,0.84687,0.9085,0.69549,0.71852,0.33175,0.99933,0.006139,0.006139,0.006139
80,4362.01,0.64037,0.33747,0.92404,0.93045,0.85728,0.91134,0.70351,0.71953,0.3311,1.00222,0.0060895,0.0060895,0.0060895
81,4415.88,0.64862,0.34081,0.92617,0.92721,0.85761,0.91075,0.70363,0.71842,0.33065,1.0021,0.00604,0.00604,0.00604
82,4469.72,0.63931,0.33695,0.92481,0.92733,0.8575,0.91037,0.70417,0.71746,0.32985,1.00185,0.0059905,0.0059905,0.0059905
83,4523.86,0.63908,0.3368,0.92552,0.9496,0.84794,0.90878,0.70093,0.71729,0.33043,1.00021,0.005941,0.005941,0.005941
84,4578.21,0.6378,0.33677,0.92401,0.94972,0.84875,0.90972,0.70397,0.71622,0.32982,1.00123,0.0058915,0.0058915,0.0058915
85,4632.65,0.63479,0.3351,0.92319,0.93331,0.85339,0.90977,0.7037,0.71724,0.3299,1.00206,0.005842,0.005842,0.005842
86,4687.12,0.63431,0.33445,0.92276,0.95786,0.84658,0.9096,0.70281,0.71611,0.32947,1.00142,0.0057925,0.0057925,0.0057925
87,4741.58,0.63855,0.33637,0.92609,0.95786,0.84704,0.90868,0.70044,0.71706,0.32978,1.001,0.005743,0.005743,0.005743
88,4796.1,0.63118,0.33254,0.92223,0.95238,0.84901,0.90964,0.70105,0.71635,0.3291,1.00147,0.0056935,0.0056935,0.0056935
89,4850.67,0.62678,0.33154,0.92061,0.95243,0.84862,0.91028,0.70208,0.71599,0.32868,1.00173,0.005644,0.005644,0.005644
90,4905.15,0.63162,0.33136,0.92223,0.94391,0.84991,0.91101,0.70317,0.71683,0.32911,1.00259,0.0055945,0.0055945,0.0055945
91,4959.68,0.62832,0.33186,0.92146,0.95446,0.84803,0.90966,0.70224,0.71619,0.32902,1.00228,0.005545,0.005545,0.005545
92,5014.23,0.62507,0.32921,0.91987,0.95785,0.84705,0.90996,0.70222,0.71655,0.32899,1.00297,0.0054955,0.0054955,0.0054955
93,5068.73,0.62703,0.33068,0.92264,0.94991,0.84879,0.91192,0.70167,0.71773,0.32887,1.0039,0.005446,0.005446,0.005446
94,5123.35,0.62318,0.32732,0.91928,0.96033,0.84736,0.90906,0.70149,0.71675,0.3282,1.00329,0.0053965,0.0053965,0.0053965
95,5177.88,0.6224,0.32818,0.91907,0.95421,0.846,0.90859,0.69884,0.71834,0.32875,1.0029,0.005347,0.005347,0.005347
96,5232.28,0.62187,0.32719,0.91771,0.94691,0.84559,0.90717,0.68714,0.72404,0.33163,1.00376,0.0052975,0.0052975,0.0052975
97,5286.52,0.61788,0.32517,0.91537,0.94582,0.84257,0.90616,0.68249,0.7324,0.33366,1.00596,0.005248,0.005248,0.005248
98,5340.79,0.62288,0.32705,0.91842,0.94831,0.83901,0.90613,0.67992,0.74126,0.33607,1.00886,0.0051985,0.0051985,0.0051985
99,5395.13,0.61674,0.32364,0.91524,0.94679,0.8392,0.90494,0.67562,0.75197,0.33933,1.01223,0.005149,0.005149,0.005149
100,5449.42,0.61414,0.32394,0.91663,0.94855,0.83978,0.90588,0.67935,0.74086,0.33556,1.00882,0.0050995,0.0050995,0.0050995
101,5503.8,0.61183,0.3217,0.91537,0.94724,0.83803,0.90494,0.66933,0.76672,0.34382,1.01788,0.00505,0.00505,0.00505
102,5558.1,0.6122,0.32283,0.91551,0.94866,0.83799,0.90472,0.67722,0.74964,0.33827,1.01199,0.0050005,0.0050005,0.0050005
103,5612.32,0.60713,0.31949,0.91148,0.94756,0.83908,0.9062,0.68071,0.73745,0.3343,1.00824,0.004951,0.004951,0.004951
104,5666.6,0.6086,0.32113,0.9134,0.95069,0.84666,0.90691,0.69051,0.72125,0.32948,1.00456,0.0049015,0.0049015,0.0049015
105,5721.07,0.60747,0.32118,0.91333,0.95499,0.84571,0.90675,0.69262,0.71995,0.32857,1.00433,0.004852,0.004852,0.004852
106,5775.59,0.60532,0.31964,0.91321,0.95058,0.84633,0.90689,0.69159,0.72047,0.32889,1.00459,0.0048025,0.0048025,0.0048025
107,5830.14,0.60567,0.31967,0.91213,0.948,0.845,0.90726,0.68739,0.72395,0.32991,1.00544,0.004753,0.004753,0.004753
108,5884.67,0.60876,0.32091,0.91565,0.95184,0.84636,0.90699,0.69344,0.71863,0.32747,1.0046,0.0047035,0.0047035,0.0047035
109,5939.23,0.60659,0.31849,0.91395,0.95144,0.84626,0.90675,0.69134,0.72083,0.32831,1.00531,0.004654,0.004654,0.004654
110,5993.78,0.60216,0.31918,0.91134,0.94905,0.84824,0.90759,0.68859,0.72318,0.32924,1.00573,0.0046045,0.0046045,0.0046045
